geographicAreaM49,Geographic Area,measuredItemCPC,Item,measuredElement,Element,timePointYears,Year,Value,flagObservationStatus,flagMethod
4,Afghanistan,02111,Cattle,5315,Slaughtered/Prod Animals [head],2013,2013,744500,E,f
4,Afghanistan,02111,Cattle,5315,Slaughtered/Prod Animals [head],2012,2012,772000,E,f
4,Afghanistan,02121.01,Camels,5315,Slaughtered/Prod Animals [head],2013,2013,19500,E,f
4,Afghanistan,02121.01,Camels,5315,Slaughtered/Prod Animals [head],2012,2012,20000,E,f
4,Afghanistan,02122,Sheep,5315,Slaughtered/Prod Animals [head],2013,2013,6625000,E,f
4,Afghanistan,02122,Sheep,5315,Slaughtered/Prod Animals [head],2012,2012,6940000,E,f
4,Afghanistan,02123,Goats,5315,Slaughtered/Prod Animals [head],2013,2013,3400000,E,f
4,Afghanistan,02123,Goats,5315,Slaughtered/Prod Animals [head],2012,2012,3400000,E,f
4,Afghanistan,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2013,2013,33000,E,f
4,Afghanistan,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2012,2012,31000,E,f
8,Albania,02111,Cattle,5315,Slaughtered/Prod Animals [head],2013,2013,375000,E,f
8,Albania,02111,Cattle,5315,Slaughtered/Prod Animals [head],2012,2012,376400,E,f
8,Albania,02122,Sheep,5315,Slaughtered/Prod Animals [head],2013,2013,1755000,E,f
8,Albania,02122,Sheep,5315,Slaughtered/Prod Animals [head],2012,2012,1710000,E,f
8,Albania,02123,Goats,5315,Slaughtered/Prod Animals [head],2013,2013,975000,E,f
8,Albania,02123,Goats,5315,Slaughtered/Prod Animals [head],2012,2012,950000,E,f
8,Albania,02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2013,2013,195000,E,f
8,Albania,02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2012,2012,199000,E,f
8,Albania,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2013,2013,28000,E,f
8,Albania,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2012,2012,21300,E,f
8,Albania,21111.01,"Meat of cattle, fresh or chilled",5320,Slaughtered/Prod Animals [head],2014,2014,306522,,q
8,Albania,21111.01,"Meat of cattle, fresh or chilled",5320,Slaughtered/Prod Animals [head],2013,2013,303045,,q
8,Albania,21111.01,"Meat of cattle, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,303078,,q
8,Albania,21113.01,"Meat of pig, fresh or chilled",5320,Slaughtered/Prod Animals [head],2014,2014,205368,,q
8,Albania,21113.01,"Meat of pig, fresh or chilled",5320,Slaughtered/Prod Animals [head],2013,2013,203530,,q
8,Albania,21113.01,"Meat of pig, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,200000,,q
8,Albania,21115,"Meat of sheep, fresh or chilled",5320,Slaughtered/Prod Animals [head],2014,2014,1283370,,q
8,Albania,21115,"Meat of sheep, fresh or chilled",5320,Slaughtered/Prod Animals [head],2013,2013,1212500,,q
8,Albania,21115,"Meat of sheep, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,1200000,,q
8,Albania,21116,"Meat of goat, fresh or chilled",5320,Slaughtered/Prod Animals [head],2014,2014,618750,,q
8,Albania,21116,"Meat of goat, fresh or chilled",5320,Slaughtered/Prod Animals [head],2013,2013,606250,,q
8,Albania,21116,"Meat of goat, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,600000,,q
8,Albania,21121,"Meat of chickens, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2014,2014,8750,,q
8,Albania,21121,"Meat of chickens, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2013,2013,8500,,q
8,Albania,21121,"Meat of chickens, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2012,2012,8000,,q
12,Algeria,02111,Cattle,5315,Slaughtered/Prod Animals [head],2013,2013,760000,E,f
12,Algeria,02111,Cattle,5315,Slaughtered/Prod Animals [head],2012,2012,700000,E,f
