"geographicAreaM49","measuredItemCPC","measuredElement","timePointYears","Value","flagObservationStatus","flagMethod"
"688","02123","5315","2013",277048,"","q"
"688","02123","5315","2014",256248,"","q"
"300","02112","5315","2012",7620,"","q"
"191","02122","5315","2013",489400,"","q"
"191","02122","5315","2012",441500,"","q"
"380","02153","5316","2012",0,"","q"
"380","02153","5316","2013",0,"","q"
"380","02153","5316","2014",0,"","q"
"275","02151","5316","2012",2918,"","q"
"275","02151","5316","2013",4177,"","q"
"764","02111","5315","2012",1026491,"","q"
"764","02111","5315","2013",995207,"","q"
"8","02151","5316","2013",8500,"","q"
"376","02111","5315","2013",115995,"","q"
"376","02111","5315","2012",105798,"","q"
"659","02111","5315","2013",221,"","q"
"8","02151","5316","2012",8000,"","q"
"659","02140","5315","2013",1037,"","q"
"191","02152","5316","2012",1274,"","q"
"659","02140","5315","2012",1000,"","q"
"764","02154","5316","2014",24234,"","q"
"764","02112","5315","2013",161026,"","q"
"764","02112","5315","2012",178503,"","q"
"659","02123","5315","2012",370,"","q"
"170","02151","5316","2013",601070.755,"","q"
"170","02151","5316","2012",524644.34,"","q"
"659","02111","5315","2012",267,"","q"
"760","02154","5316","2012",15,"","q"
"764","02154","5316","2013",24020,"","q"
"764","02154","5316","2012",23768,"","q"
"659","02122","5315","2013",616,"","q"
"659","02122","5315","2012",650,"","q"
"170","02140","5315","2012",4127954,"","q"
"760","02111","5315","2013",465865,"","q"
"8","02123","5315","2013",606250,"","q"
"8","02123","5315","2012",6e+05,"","q"
"862","02122","5315","2013",228645,"","q"
"862","02122","5315","2012",210000,"","q"
"170","02140","5315","2013",4116755,"","q"
"144","02140","5315","2013",29610,"","q"
"670","02111","5315","2013",1174,"","q"
"8","02122","5315","2013",1212500,"","q"
"862","02123","5315","2012",470419,"","q"
"8","02122","5315","2012",1200000,"","q"
"862","02151","5316","2013",437133,"","q"
"191","02152","5316","2013",947,"","q"
"376","02140","5315","2013",195747,"","q"
"52","02151","5316","2012",8654,"","q"
"862","02123","5315","2013",494413,"","q"
"233","02140","5315","2013",477800,"","q"
"191","02140","5315","2012",1684000,"","q"
"862","02140","5315","2012",2524841,"","q"
"804","02123","5315","2013",435300,"","q"
"233","02140","5315","2012",494700,"","q"
"233","02122","5315","2013",26400,"","q"
"862","02111","5315","2012",2576999,"","q"
"233","02122","5315","2012",30700,"","q"
"40","02154","5316","2012",48,"","q"
"862","02140","5315","2013",2732457,"","q"
"8","02111","5315","2012",303078,"","q"
"8","02111","5315","2013",303045,"","q"
"233","02111","5315","2013",42500,"","q"
"804","02123","5315","2012",445527,"","q"
"862","02111","5315","2013",2569587,"","q"
"729","02121.01","5315","2012",509000,"","q"
"862","02151","5316","2012",473769,"","q"
"300","02123","5315","2012",5012750,"","q"
"52","02122","5315","2013",2848,"","q"
"705","02123","5315","2013",22115,"","q"
"760","02123","5315","2013",473933,"","q"
"52","02111","5315","2012",709,"","q"
"356","02151","5316","2012",2161054.75,"","q"
"40","02152","5316","2013",1958,"","q"
"760","02153","5316","2012",18,"","q"
"52","02122","5315","2012",2948,"","q"
"40","02151","5316","2013",77000,"","q"
"348","02154","5316","2012",20895.3,"","q"
"348","02154","5316","2013",21354.3,"","q"
"233","02111","5315","2012",50000,"","q"
"275","02111","5315","2013",32946,"","q"
"764","02151","5316","2012",1150952.29,"","q"
"764","02151","5316","2013",1202385.42,"","q"
"52","02140","5315","2012",34679,"","q"
"760","02121.01","5315","2012",5500,"","q"
"760","02191","5316","2012",27,"","q"
"144","02123","5315","2013",64511,"","q"
"31","02122","5315","2013",4858151,"","q"
"31","02122","5315","2012",4819589,"","q"
"591","02151","5316","2013",92811,"","q"
"376","02140","5315","2012",197390,"","q"
"703","02140","5315","2012",776318,"","q"
"300","02122","5315","2012",8469027,"","q"
"40","02152","5316","2012",2238,"","q"
"276","02123","5315","2013",25063,"","q"
"604","02111","5315","2013",1375094.598279,"","q"
"276","02122","5315","2013",1653139,"","q"
"703","02122","5315","2012",111757,"","q"
